job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Türk Dili ve Edebiyatý Öðretmeni, 2.950, 2.060, 3.850,Türk Dili ve Edebiyatý, Türk Dili ve Edebiyatý Öðretmenliði, Çaðdaþ Türk Lehçeleri ve Edebiyatlarý, Türkçe Öðretmenliði, Edebiyat, Eðitim, Danýþmanlýk, Tekstil, Basým - Yayýn, Gýda, Anadolu Üniversitesi, Gazi Üniversitesi, Trakya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Tiyatro,Müzik,Microsoft Office,Resim,Microsoft Office Word,218,
Türkçe Öðretmeni, 3.030, 2.200, 3.870,Türk Dili ve Edebiyatý, Türkçe Öðretmenliði, Türk Dili ve Edebiyatý Öðretmenliði, Çaðdaþ Türk Lehçeleri ve Edebiyatlarý, Edebiyat, Eðitim, Danýþmanlýk, Topluluklar, Hizmet, Tekstil, Anadolu Üniversitesi, Gazi Üniversitesi, Sakarya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Doðu Akdeniz Üniversitesi, Tiyatro,Müzik,Microsoft Office,Resim,Bilgisayar,252,
Tütün Eksperi, 5.970, 3.000, 10.770,Tütün Mühendisliði, Tütün Eksperliði, Ýþletme (Ýngilizce), Tütün Yetiþtiriciliði ve Ýþlemeciliði (MYO), Ziraat Mühendisliði, Tarým / Ziraat, Ticaret, Biliþim, Ev Eþyalarý, Medya, Manisa Celal Bayar Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Çanakkale 18 Mart Üniversitesi, Yaþar  Üniversitesi, Ýzmir Ekonomi Üniversitesi, Depo Operasyon,Ýstatistiksel analiz,-, -, -, 6,
Uçak Bakým Mühendisi, 6.560, 2.940, 10.190,Uçak Mühendisliði, Makine Mühendisliði, Havacýlýk ve Uzay Mühendisliði, Havacýlýk Elektrik ve Elektroniði, Uçak Elektrik/Elektroniði, Havacýlýk, Üretim / Endüstriyel Ürünler, Otomotiv, Ev Eþyalarý, Taþýmacýlýk, Ýstanbul Teknik Üniversitesi (ÝTÜ), Anadolu Üniversitesi, Erciyes Üniversitesi, Hava Harp Okulu, Ege Üniversitesi, Ansys,AutoCAD,Bakým Planlama,CATIA,Catia V5,35,
Uçak Bakým Þefi, 5.250, 2.500, 10.050,Havacýlýk Elektrik ve Elektroniði, Kamu Yönetimi, Ýþletme, Uçak Gövde, Uçak Motor, Havacýlýk, Otomotiv, Telekomünikasyon, Taþýmacýlýk, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Hava Astsubay Meslek Yüksek Okulu, Ege Üniversitesi, Fatih Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Bakým Planlama,BÜRO YÖNETÝMÝ VE SEKRETERLÝK,MEKANÝK MONTAJ,Toplam Kalite Yönetimi,-, 5,
Uçak Bakým Teknisyeni, 6.800, 2.020, 11.630,Uçak Teknolojisi , Uçak Elektrik/Elektroniði, Ýþletme, Uçak Gövde, Uçak Motor, Havacýlýk, Taþýmacýlýk, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Anadolu Üniversitesi, Kocaeli Üniversitesi, Erciyes Üniversitesi, Hava Astsubay Meslek Yüksek Okulu, Kapadokya Meslek Yüksekokulu, AutoCAD,Bakým Planlama,Elektrik/Elektronik,Mekanik Bakým,SOLIDWORKS,138,
Uçak Emniyet Þefi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Uçak Mühendisi, 7.190, 3.420, 10.950,Uçak Mühendisliði, Havacýlýk ve Uzay Mühendisliði, Uzay Mühendisliði, Makine Mühendisliði, Uçak ve Uzay Mühendislið, Havacýlýk, Üretim / Endüstriyel Ürünler, Taþýmacýlýk, Hizmet, Biliþim, Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Hava Harp Okulu, Türk Hava Kurumu Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,Autodesk,29,
Uçak Sistem Mühendisi, 9.030, 6.700, 11.360,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 7,
Uçak Teknisyeni, 5.110, 2.250, 9.020,Uçak Teknolojisi , Uçak Elektrik/Elektroniði, Uçak Motor, Havacýlýk Elektrik ve Elektroniði, Ýþletme, Havacýlýk, Taþýmacýlýk, Otomotiv, Üretim / Endüstriyel Ürünler, Eðitim, Anadolu Üniversitesi, Kocaeli Üniversitesi, Erciyes Üniversitesi, Kapadokya Meslek Yüksekokulu, Erciyes Sivil Havacýlýk M.Y.O., AutoCAD,Elektrik/Elektronik,SAP/MM,SOLIDWORKS,-, 38,
Uçuþ Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Ulaþtýrma Mühendisi, -, -, -, Ýnþaat Mühendisliði, Ulaþtýrma Mühendisliði , Endüstri Mühendisliði, Harita Mühendisliði, Þehir Planlama, Hizmet, Yapý, Taþýmacýlýk, Çevre, Telekomünikasyon, Yalova Üniversitesi , Karabük Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Dokuz Eylül Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), ArcGIS,AutoCAD,Autocad Civil 3D,C++,Java,-,
Uluslararasý Eðitim Programlarý Müdürü, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Uluslararasý Eðitim Programlarý Uzmaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Uluslararasý Ýliþkiler Uzmaný, 3.860, 2.500, 5.440,Uluslararasý Ýliþkiler, Siyaset Bilimi ve Uluslararasý Ýliþkiler, Ýngiliz Dili ve Edebiyatý, Ýþletme (Ýngilizce), Ýþletme, Eðitim, Hizmet, Topluluklar, Saðlýk, Finans - Ekonomi, Ýhsan Doðramacý Bilkent Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Ankara Üniversitesi, Ýstanbul Kültür Üniversitesi, Adobe Photoshop,Bankacýlýk/Finans,Finansal Analiz,Finansal planlama/kontrol,Finansal Risk Yönetimi,6,
Uluslararasý Pazarlama Yöneticisi, 4.980, 2.900, 7.080,Ýþletme, Ýþletme (Ýngilizce), Uluslararasý Ýliþkiler, Endüstri Mühendisliði, Ýktisat, Tekstil, Saðlýk, Turizm, Hizmet, Kimya, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Boðaziçi Üniversitesi, Ýstanbul Bilgi Üniversitesi, Yeditepe Üniversitesi, Adobe Illustrator,Depo Ve Lojistik Yönetimi,Dýþ Ticaret,Dijital Pazarlama,Finansal planlama/kontrol,7,
Uygulama Geliþtirme Uzmaný, 5.520, 3.090, 7.960,Bilgisayar Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Matematik Mühendisliði, Bilgisayar ve Öðretim Teknolojileri Öðr., Matematik, Biliþim, Finans - Ekonomi, Telekomünikasyon, Otomotiv, Üretim / Endüstriyel Ürünler, Hacettepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Sakarya Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), ASP.NET,ASP.NET Web Api,C#,CSS,Entity Framework,22,
Uyku Teknisyeni, 2.580, 2.300, 3.040,Elektronörofizyoloji (MYO), Biyomedikal Cihaz Teknolojisi (MYO), Biyoloji, Saðlýk Kurumlarý Ýþletmeciliði, Týbbi Dokümantasyon ve Sekreterlik (MYO), Saðlýk, Hizmet, Sigortacýlýk, Reklam ve Tanýtým, Gýda, Üsküdar Üniversitesi , Anadolu Üniversitesi, Ýstanbul Medipol Üniversitesi , Erciyes Üniversitesi, Ýstanbul Bilgi Üniversitesi, Elektrik/Elektronik,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, 4,
Uzman Çavuþ, 5.670, 3.420, 7.930,Ýþletme, Kamu Yönetimi, Elektrik (MYO), Bilgisayar Teknolojisi ve Programlama (MYO), Otomotiv (MYO), Güvenlik, Üretim / Endüstriyel Ürünler, Hizmet, Taþýmacýlýk, Biliþim, Anadolu Üniversitesi, Atatürk Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Mustafa Kemal Üniversitesi, Elektrik/Elektronik,ÖZEL GÜVENLÝK,Silahlý Özel Güvenlik,-, -, 45,
Uzman Diyetisyen, 3.560, 2.650, 4.460,Beslenme ve Diyetetik, Gýda Teknolojisi (MYO), Gýda Teknolojisi, Hemþirelik ve Saðlýk Hizmetleri, Gýda Kalite Kontrolü ve Analizi , Saðlýk, Hizmet, Gýda, Sigortacýlýk, Eðitim, Hacettepe Üniversitesi, Baþkent Üniversitesi, Haliç Üniversitesi, Yeditepe Üniversitesi, Erciyes Üniversitesi, Depo Ve Stok Yönetimi,Gýda Mevzuatý,ISO 22000 Gýda Güvenliði HACCP,Ýþçi Saðlýðý ve Ýþ Güvenliði,Mali iþler,22,
Uzman Doktor, -, -, -, Týp, Diþ Hekimliði, Fizik Tedavi ve Rehabilitasyon, Radyoloji (MYO), Saðlýk Eðitimi, Saðlýk, Hizmet, Sigortacýlýk, Finans - Ekonomi, Çevre, Ýstanbul Üniversitesi (ÝÜ), Hacettepe Üniversitesi, Ankara Üniversitesi, Ege Üniversitesi, Uludað Üniversitesi, Ticaret,Müzik,Microsoft Office,Microsoft Office Excel,SPSS,-,
Uzman Psikolog, 5.050, 3.760, 6.330,Psikoloji, Rehberlik ve Psikolojik Danýþmanlýk,  Klinik Psikoloji, Sosyoloji, Türk Dili ve Edebiyatý, Saðlýk, Eðitim, Danýþmanlýk, Hizmet, Topluluklar, Ýstanbul Ticaret Üniversitesi, Haliç Üniversitesi, Ýstanbul Bilgi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Yeditepe Üniversitesi, SPSS,-, -, -, -, 26,
Uzman Yardýmcýsý, -, -, -, Ýþletme, Ýktisat, Uluslararasý Ýliþkiler, Maliye, Endüstri Mühendisliði, Finans - Ekonomi, Sigortacýlýk, Hizmet, Telekomünikasyon, Biliþim, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Gazi Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Ticaret,•	Deadline And Target Driven,Salary Review,Documantery Programme,Personel Maliyet,-,
Uzun Dönem Stajyer, -, -, -, Endüstri Mühendisliði, Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Ýþletme, Ýþletme (Ýngilizce), Otomotiv, Finans - Ekonomi, Biliþim, Hizmet, Üretim / Endüstriyel Ürünler, Ýstanbul Teknik Üniversitesi (ÝTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Microsoft Office,AutoCAD,SOLIDWORKS,MATLAB,MS Excel,-,
Ücretli Öðretmen, 2.080, 2.020, 2.240,Ýþletme, Türk Dili ve Edebiyatý, Sosyal Bilgiler Öðretmenliði, Tarih, Kamu Yönetimi, Eðitim, Hizmet, Danýþmanlýk, Biliþim, Saðlýk, Anadolu Üniversitesi, Atatürk Üniversitesi, Selçuk Üniversitesi, Gazi Üniversitesi, Afyon Kocatepe Üniversitesi, HTML,MS Access,Muhasebe,-, -, 8,
Üretim Elemaný, 2.650, 2.020, 3.350,Ýþletme, Makine (MYO), Elektrik (MYO), Otomotiv (MYO), Makine, Otomotiv, Üretim / Endüstriyel Ürünler, Gýda, Elektrik & Elektronik, Kimya, Anadolu Üniversitesi, Kocaeli Üniversitesi, Uludað Üniversitesi, Manisa Celal Bayar Üniversitesi, Sakarya Üniversitesi, AutoCAD,Elektrik/Elektronik,SOLIDWORKS,Üretim,Üretim Elemaný,1029,
Üretim Müdürü, 7.270, 3.100, 11.440,Makine Mühendisliði, Gýda Mühendisliði, Kimya Mühendisliði, Kimya, Endüstri Mühendisliði, Gýda, Üretim / Endüstriyel Ürünler, Tekstil, Kimya, Maden ve Metal Sanayi, Anadolu Üniversitesi, Ege Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Uludað Üniversitesi, 5S,AutoCAD,CAD/CAM,CATIA,ETA,611,
Üretim Mühendisi, 4.150, 2.160, 6.150,Makine Mühendisliði, Kimya Mühendisliði, Metalurji ve Malzeme Mühendisliði, Endüstri Mühendisliði, Gýda Mühendisliði, Üretim / Endüstriyel Ürünler, Otomotiv, Maden ve Metal Sanayi, Gýda, Kimya, Sakarya Üniversitesi, Kocaeli Üniversitesi, Ege Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Eskiþehir Osmangazi Üniversitesi, 5S,Ansys,Ansys Workbench,AutoCAD,CAD/CAM,842,
Üretim Operatörü, 3.140, 2.020, 4.430,Elektrik (MYO), Makine (MYO), Otomotiv (MYO), Ýþletme, Makine, Otomotiv, Kimya, Saðlýk, Gýda, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Kocaeli Üniversitesi, Uludað Üniversitesi, Ege Üniversitesi, Sakarya Üniversitesi, AutoCAD,Elektrik/Elektronik,Forklift Operatörü,Ýþçi Saðlýðý ve Ýþ Güvenliði,SOLIDWORKS,200,
Üretim Planlama Müdürü, 6.160, 3.330, 8.990,Endüstri Mühendisliði, Makine Mühendisliði, Ýþletme, Kimya Mühendisliði, Gýda Mühendisliði, Tekstil, Üretim / Endüstriyel Ürünler, Otomotiv, Gýda, Mobilya & Aksesuar, Anadolu Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Gazi Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Üniversitesi (ÝÜ), 5S,Analiz Yöntemleri,AutoCAD,Depo Ve Stok Yönetimi,ERP/MRP sistemleri,83,
Üretim Planlama Mühendisi, 3.850, 2.110, 5.590,Endüstri Mühendisliði, Makine Mühendisliði, Metalurji ve Malzeme Mühendisliði, Kimya Mühendisliði, Tekstil Mühendisliði, Üretim / Endüstriyel Ürünler, Otomotiv, Maden ve Metal Sanayi, Tekstil, Kimya, Sakarya Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, Uludað Üniversitesi, 5S,AutoCAD,CANIAS ERP,ERP,Ýþ ve süreç analizi,266,
Üretim Planlama Sorumlusu, 3.670, 2.480, 4.860,Endüstri Mühendisliði, Ýþletme, Makine Mühendisliði, Kimya, Tekstil (MYO), Tekstil, Üretim / Endüstriyel Ürünler, Otomotiv, Kimya, Maden ve Metal Sanayi, Anadolu Üniversitesi, Uludað Üniversitesi, Sakarya Üniversitesi, Kocaeli Üniversitesi, Selçuk Üniversitesi, 2D Autocad,AutoCAD,MRP/ERP uygulamalarý,MRP1 (Malzeme Ýhtiyaç Planlamasý),SAP,128,
Üretim Planlama Uzmaný, 4.910, 2.540, 7.330,Endüstri Mühendisliði, Ýþletme, Kimya Mühendisliði, Tekstil Mühendisliði, Makine Mühendisliði, Tekstil, Üretim / Endüstriyel Ürünler, Otomotiv, Maden ve Metal Sanayi, Kimya, Anadolu Üniversitesi, Sakarya Üniversitesi, Kocaeli Üniversitesi, Uludað Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), AutoCAD,Depo Ve Lojistik Yönetimi,ERP/MRP sistemleri,Ýþ ve süreç analizi,MATLAB,82,
Üretim Þefi, 5.600, 2.090, 9.110,Makine Mühendisliði, Kimya Mühendisliði, Kimya, Gýda Mühendisliði, Endüstri Mühendisliði, Gýda, Üretim / Endüstriyel Ürünler, Kimya, Maden ve Metal Sanayi, Otomotiv, Ege Üniversitesi, Kocaeli Üniversitesi, Anadolu Üniversitesi, Uludað Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), 5S,AutoCAD,ERP,ISO 14001,ISO 9001,234,
Üretim ve Planlama Mühendisi, 4.060, 2.500, 5.840,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 21,
Üroloji / Bevliye Uzmaný, 12.670, 9.000, 16.770,Týp, Týbbi Dokümantasyon ve Sekreterlik (MYO),  Cerrahi Týp Bilimleri, Ýletiþim, Büro Yönetimi ve Yönetici Asistanlýðý (MYO), Saðlýk, Hizmet, Sigortacýlýk, Ofis / Büro Malzemeleri, Finans - Ekonomi, Ýstanbul Üniversitesi (ÝÜ), Ankara Üniversitesi, Ege Üniversitesi, Hacettepe Üniversitesi, Gülhane Askeri Týp Akademisi, Ýstatistiksel analiz,-, -, -, -, 7,
Ürün Geliþtirme Mühendisi, 5.370, 2.500, 8.720,Makine Mühendisliði, Kimya Mühendisliði, Endüstri Mühendisliði, Metalurji ve Malzeme Mühendisliði, Elektrik/Elektronik Mühendisliði, Otomotiv, Ev Eþyalarý, Üretim / Endüstriyel Ürünler, Kimya, Tarým / Ziraat, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Uludað Üniversitesi, 6 Sigma,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,62,
Ürün Geliþtirme Uzmaný, 4.880, 2.840, 6.920,Makine Mühendisliði, Kimya, Endüstri Mühendisliði, Tekstil Mühendisliði, Gýda Mühendisliði, Tekstil, Otomotiv, Finans - Ekonomi, Biliþim, Üretim / Endüstriyel Ürünler, Yýldýz Teknik Üniversitesi (YTÜ), Ege Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Kocaeli Üniversitesi, Adobe Illustrator,Ansys Workbench,AutoCAD,CAD/CAM,CATIA,25,
Ürün Müdürü, 8.050, 3.350, 12.760,Ýþletme, Endüstri Mühendisliði, Biyoloji, Makine Mühendisliði, Kimya, Saðlýk, Biliþim, Telekomünikasyon, Elektrik & Elektronik, Kimya, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Marmara Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Bütçe planlama ve raporlama,Dijital Pazarlama,Ýþ ve süreç analizi,Pazarlama Stratejisi,Proje Yönetimi,213,
Ürün Tasarýmcýsý, 4.350, 2.500, 6.620,Endüstri Ürünleri Tasarýmý, Endüstriyel Tasarým, Makine Mühendisliði, Makine-Resim-Konstrüksiyon (MYO), Makine (MYO), Otomotiv, Mobilya & Aksesuar, Tekstil, Üretim / Endüstriyel Ürünler, Yapý, Ýstanbul Teknik Üniversitesi (ÝTÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Mimar Sinan Güzel Sanatlar Üniversitesi, 3D Studio Max,3D Tasarým ve Modelleme Uygulamasý,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,11,
Ürün Uzmaný, 5.170, 2.260, 8.070,Ýþletme, Biyoloji, Ýktisat, Kimya, Makine Mühendisliði, Saðlýk, Telekomünikasyon, Biliþim, Otomotiv, Hizmet, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ege Üniversitesi, Çukurova Üniversitesi, Adobe Photoshop,AutoCAD,CRM,Pazarlama Stratejisi,Photoshop,112,
Ürün Yöneticisi / Yönetmeni, 6.840, 2.790, 10.890,Ýþletme, Endüstri Mühendisliði, Bilgisayar Mühendisliði, Makine Mühendisliði, Ýktisat, Biliþim, Tekstil, Telekomünikasyon, Finans - Ekonomi, Perakende, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Marmara Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), AutoCAD,Bütçe planlama ve raporlama,Dijital Pazarlama,HTML,Ýþ ve süreç analizi,129,
Vali, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Validasyon Mühendisi, 6.100, 2.200, 14.580,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Vardiya Amiri, 3.700, 2.020, 5.400,Ýþletme, Elektrik (MYO), Makine (MYO), Maden Mühendisliði, Kimya, Gýda, Maden ve Metal Sanayi, Güvenlik, Otomotiv, Kimya, Anadolu Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Afyon Kocatepe Üniversitesi, Dumlupýnar Üniversitesi, AutoCAD,Depo Ve Lojistik Yönetimi,Elektrik Motorlarý,Elektrik/Elektronik,Ýþçi Saðlýðý ve Ýþ Güvenliði,474,
Vardiya Müdürü, 2.550, 2.080, 3.020,Ýþletme, Turizm ve Otel Ýþletmeciliði (MYO), Kamu Yönetimi, Gýda Teknolojisi (MYO), Bilgisayar Teknolojisi ve Programlama (MYO), Gýda, Turizm, Eðlence - Kültür - Sanat, Hizmet, Hýzlý Tüketim Mallarý, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Selçuk Üniversitesi, Satýþ Yönetimi,-, -, -, -, 135,
Vekil Öðretmen, -, -, -, Ýþletme, Kamu Yönetimi, Ýktisat, Tarih, Türk Dili ve Edebiyatý, Eðitim, Danýþmanlýk, Hizmet, Biliþim, Saðlýk, Anadolu Üniversitesi, Selçuk Üniversitesi, Afyon Kocatepe Üniversitesi, Atatürk Üniversitesi, Yüzüncü Yýl Üniversitesi, Kalite / AR-GE,Muhasebe,-, -, -, -,
Vergi Analisti, 4.520, 3.210, 7.200,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 8,
Vergi Danýþmaný, 3.580, 2.350, 4.800,Ýþletme, Ýþletme (Ýngilizce), Ýktisat, Ekonomi, Maliye, Hizmet, Danýþmanlýk, Finans - Ekonomi, Enerji, Topluluklar, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Boðaziçi Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Hacettepe Üniversitesi, Finans,Finansal Raporlama,Finansal tablo analizi,Genel Muhasebe,IFRS (Uluslararasý finansal raporlama standartlarý),7,
Vergi Denetçisi, 5.010, 2.570, 7.460,Ýþletme, Maliye, Ýktisat (Ýngilizce), Ýktisat, Ýþletme (Ýngilizce), Hizmet, Danýþmanlýk, Finans - Ekonomi, Eðitim, Gýda, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Finans,Finansal Analiz,Finansal Raporlama,Finansal tablo analizi,Genel Muhasebe,22,
Vergi Denetmen Yardýmcýsý, -, -, -, Ýþletme, Ýktisat, Maliye, Uluslararasý Ýliþkiler, Ýþletme (Ýngilizce), Hizmet, Finans - Ekonomi, Danýþmanlýk, Medya, Ticaret, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Uludað Üniversitesi, Dumlupýnar Üniversitesi, Finans,Finansal Analiz,Genel Muhasebe,Mali tablolar analizi,Muhasebe,-,
Vergi Müfettiþ Yardýmcýsý, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Vergi Müfettiþi, 7.420, 6.080, 8.770,Ýþletme, Ýktisat, Maliye, Kamu Yönetimi, Ýktisat (Ýngilizce), Hizmet, Finans - Ekonomi, Danýþmanlýk, Basým - Yayýn, Tekstil, Gazi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ankara Üniversitesi, Dokuz Eylül Üniversitesi, Finans,Finansal Analiz,Finansal tablo analizi,Genel Muhasebe,IFRS (Uluslararasý finansal raporlama standartlarý),7,
Vergi Uzmaný, 5.780, 3.280, 8.270,Ýþletme, Ýktisat, Maliye, Ýþletme (Ýngilizce), Muhasebe, Hizmet, Finans - Ekonomi, Otomotiv, Enerji, Gýda, Marmara Üniversitesi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Gazi Üniversitesi, Dokuz Eylül Üniversitesi, Finansal Raporlama,Genel Muhasebe,Mali tablolar analizi,Mali Tablolar Raporlama,Muhasebe,24,
Veri Ambarý Analisti, 6.050, 4.480, 7.620,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 16,
Veri Ambarý Tasarýmcýsý, 16.500, 12.000, 22.330,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 8,
Veri Ambarý Uzmaný, 10.460, 5.000, 16.420,Bilgisayar Mühendisliði, Matematik Mühendisliði, Matematik, Bilgisayar Teknolojisi ve Programlama (MYO), Endüstri Mühendisliði, Finans - Ekonomi, Biliþim, Telekomünikasyon, Sigortacýlýk, Danýþmanlýk, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Sakarya Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), C#,Data Warehouse,ETL,Finansal Raporlama,HTML,19,
Veri Analisti, 4.240, 2.020, 6.560,Ýstatistik, Endüstri Mühendisliði, Bilgisayar Mühendisliði, Matematik, Ýþletme, Biliþim, Hizmet, Finans - Ekonomi, Danýþmanlýk, Saðlýk, Boðaziçi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Marmara Üniversitesi, Big Data,Data Analysis,Ýstatistiksel analiz,MATLAB,MS Access,56,
Veri Analiz Uzmaný, 3.770, 2.180, 6.030,Ýstatistik, Endüstri Mühendisliði, Ýþletme, Matematik, Ekonometri, Biliþim, Hizmet, Finans - Ekonomi, Saðlýk, Elektrik & Elektronik, Orta Doðu Teknik Üniversitesi (ODTÜ), Ege Üniversitesi, Dokuz Eylül Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, AutoCAD,DOS,Ýstatistiksel analiz,Linux,MATLAB,20,
Veri Bilimci, 6.740, 2.680, 10.790,Bilgisayar Mühendisliði, Endüstri Mühendisliði, Ýstatistik, Matematik, Matematik Mühendisliði, Biliþim, Finans - Ekonomi, Danýþmanlýk, Eðitim, Telekomünikasyon, Ýstanbul Teknik Üniversitesi (ÝTÜ), Boðaziçi Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Üniversitesi (ÝÜ), Big Data,C#,C++,Data Science,Deep Learning,81,
Veri Giriþ Elemaný, 2.470, 2.020, 2.970,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Kamu Yönetimi, Ýktisat, Muhasebe (MYO), Saðlýk, Hizmet, Biliþim, Finans - Ekonomi, Arþiv Yönetimi ve Saklama, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Trakya Üniversitesi, Sakarya Üniversitesi, Adobe Photoshop,Genel Muhasebe,Muhasebe,Photoshop,SAP,149,
